game_id,season,week,home_team,away_team,pred_total,over_under,total_points,edge,bet_side,ou_result,pnl,result,wind_speed,temp_avg,is_dome,cumulative_pnl,running_roi
401636900,2024,8,Iowa State,UCF,55.48449646499198,49.5,73.0,5.984496464991977,over,over,0.9090909090909091,win,10.9,61.150000000000006,0,24.27272727272728,0.09090909090909094
401643815,2024,9,Old Dominion,Georgia Southern,55.28988458386916,52.0,66.0,3.28988458386916,over,over,0.9090909090909091,win,16.2,64.25,0,26.00000000000001,0.09594095940959413
401634770,2024,9,Pittsburgh,Syracuse,56.56093710547814,62.5,54.0,-5.939062894521861,under,under,0.9090909090909091,win,8.9,50.400000000000006,0,26.90909090909092,0.09893048128342251
401628402,2024,9,Ole Miss,Oklahoma,55.799976687634704,50.0,40.0,5.799976687634704,over,under,-1.0,loss,6.8,70.2,0,24.90909090909092,0.09090909090909095
401628526,2024,9,Indiana,Washington,57.566072386487214,54.0,48.0,3.566072386487214,over,under,-1.0,loss,8.5,54.099999999999994,0,23.90909090909092,0.08694214876033061
401635597,2024,9,Virginia Tech,Georgia Tech,55.14351526146953,52.0,27.0,3.143515261469531,over,under,-1.0,loss,8.1,56.349999999999994,0,22.90909090909092,0.08300395256917001
401645352,2024,9,East Carolina,Temple,53.99595613363987,48.5,90.0,5.495956133639872,over,over,0.9090909090909091,win,6.6,66.35,0,23.81818181818183,0.08598621595011491
401628528,2024,9,Minnesota,Maryland,50.44190072040784,45.0,71.0,5.441900720407837,over,over,0.9090909090909091,win,9.0,46.95,0,24.72727272727274,0.0889470241988228
401628525,2024,9,Oregon,Illinois,57.845871163665755,54.0,47.0,3.8458711636657554,over,under,-1.0,loss,12.7,61.900000000000006,0,23.72727272727274,0.08504398826979477
401636910,2024,9,TCU,Texas Tech,59.679101852732565,66.0,69.0,-6.320898147267435,under,over,-1.0,loss,8.9,75.1,0,22.72727272727274,0.08116883116883122
401636911,2024,9,UCF,BYU,56.85470622901353,53.5,61.0,3.35470622901353,over,over,0.9090909090909091,win,9.7,73.35,0,23.63636363636365,0.08411517308314466
401636906,2024,9,Baylor,Oklahoma State,59.56897291606992,64.5,66.0,-4.931027083930083,under,over,-1.0,loss,9.2,77.75,0,22.63636363636365,0.08027079303675054
401644752,2024,9,Akron,Eastern Michigan,46.39072503498664,50.5,46.0,-4.109274965013363,under,under,0.9090909090909091,win,13.1,50.65,0,23.54545454545456,0.08319948602634121
401645355,2024,9,Tulsa,UTSA,56.37813709399951,52.5,91.0,3.878137093999513,over,over,0.9090909090909091,win,10.9,63.65,0,24.45454545454547,0.08610755441741363
401644756,2024,9,Western Michigan,Kent State,57.7424098679627,61.0,73.0,-3.2575901320373006,under,over,-1.0,loss,9.5,47.2,0,23.45454545454547,0.08229665071770341
401629035,2024,9,UConn,Rice,52.4017338621893,47.0,27.0,5.401733862189303,over,under,-1.0,loss,,,0,22.45454545454547,0.07851239669421493
401635594,2024,9,California,Oregon State,56.44178070363718,51.0,51.0,5.441780703637178,over,push,0.0,push,6.3,62.3,0,22.45454545454547,0.07823883433639536
401628405,2024,9,Vanderbilt,Texas,56.42364414885016,50.5,51.0,5.923644148850158,over,over,0.9090909090909091,win,9.0,63.95,0,23.36363636363638,0.08112373737373743
401643745,2024,9,Wyoming,Utah State,53.314872080096386,57.0,52.0,-3.685127919903614,under,under,0.9090909090909091,win,15.2,48.05,0,25.09090909090911,0.08592777085927777
401643818,2024,9,Arkansas State,Troy,55.850384541684114,50.0,65.0,5.8503845416841145,over,over,0.9090909090909091,win,11.6,64.85,0,26.00000000000002,0.08873720136518778
401636909,2024,9,Kansas State,Kansas,61.83497876551139,56.0,56.0,5.834978765511387,over,push,0.0,push,11.1,59.0,0,26.81818181818184,0.09029690847872673
401640985,2024,10,Florida International,New Mexico State,47.361923543111125,43.5,47.0,3.861923543111125,over,over,0.9090909090909091,win,,,0,28.63636363636366,0.09577379142596543
401641012,2024,10,Sam Houston,Louisiana Tech,51.08929084898212,45.5,12.0,5.589290848982117,over,under,-1.0,loss,14.3,76.44999999999999,0,27.63636363636366,0.0921212121212122
401640994,2024,10,Liberty,Jacksonville State,57.62155873526317,64.5,52.0,-6.8784412647368285,under,under,0.9090909090909091,win,11.0,64.25,0,28.54545454545457,0.09483539716097865
401629036,2024,10,UConn,Georgia State,53.13148110250918,48.0,61.0,5.131481102509177,over,over,0.9090909090909091,win,,,0,29.45454545454548,0.09753160746538239
401645357,2024,10,Florida Atlantic,South Florida,52.40212648904983,48.0,65.0,4.402126489049827,over,over,0.9090909090909091,win,13.9,79.15,0,30.36363636363639,0.1002100210021003
401643747,2024,10,Boise State,San Diego State,59.72291168507796,55.5,80.0,4.22291168507796,over,over,0.9090909090909091,win,8.5,44.3,0,31.272727272727302,0.10287081339712928
401635516,2024,10,NC State,Stanford,52.350190724123536,46.5,87.0,5.850190724123536,over,over,0.9090909090909091,win,8.2,62.0,0,32.18181818181821,0.10551415797317445
401628533,2024,10,Illinois,Minnesota,51.69482734187823,47.0,42.0,4.694827341878231,over,under,-1.0,loss,10.4,48.75,0,30.18181818181821,0.0983121113414274
401628539,2024,10,Penn State,Ohio State,53.409068620303565,47.5,33.0,5.9090686203035645,over,under,-1.0,loss,7.1,45.9,0,29.18181818181821,0.0947461629279812
401635604,2024,10,Syracuse,Virginia Tech,57.197507790892544,53.5,69.0,3.697507790892544,over,over,0.9090909090909091,win,0.0,68.0,1,30.09090909090912,0.09738158281847611
401644757,2024,10,Akron,Buffalo,44.236967718120745,48.0,71.0,-3.763032281879255,under,over,-1.0,loss,7.6,48.05,0,29.09090909090912,0.09384164222873909
401641026,2024,10,UTEP,Middle Tennessee,52.92667830778286,48.5,33.0,4.426678307782858,over,under,-1.0,loss,10.8,62.45,0,28.81818181818185,0.09119677790563877
401635602,2024,10,Florida State,North Carolina,53.84718501443784,50.5,46.0,3.3471850144378408,over,under,-1.0,loss,9.0,73.5,0,26.81818181818185,0.08433390508862217
401643824,2024,10,Troy,Coastal Carolina,54.652520669104526,51.5,62.0,3.1525206691045256,over,over,0.9090909090909091,win,7.1,71.4,0,26.72727272727276,0.08352272727272737
401643750,2024,10,New Mexico,Wyoming,57.109180356517626,60.5,94.0,-3.3908196434823736,under,over,-1.0,loss,14.1,56.75,0,25.72727272727276,0.08014726706315502
401643823,2024,10,South Alabama,Georgia Southern,63.97392339880669,60.0,64.0,3.97392339880669,over,over,0.9090909090909091,win,9.5,74.35,0,25.54545454545458,0.0786013986013987
401635627,2024,10,SMU,Pittsburgh,51.484073163084304,55.5,73.0,-4.015926836915696,under,over,-1.0,loss,20.4,77.3,0,25.45454545454549,0.0778426466499862
401644760,2024,11,Central Michigan,Bowling Green,54.59437903270177,48.5,36.0,6.094379032701767,over,under,-1.0,loss,13.8,55.2,0,24.3636363636364,0.07382920110192848
401644761,2024,11,Kent State,Ohio,48.5744766739152,53.0,41.0,-4.4255233260848,under,under,0.9090909090909091,win,6.7,52.8,0,25.27272727272731,0.07635265037077738
401645361,2024,11,East Carolina,Florida Atlantic,51.64307698469657,58.5,63.0,-6.85692301530343,under,over,-1.0,loss,7.7,71.3,0,24.27272727272731,0.0731106243154437
401643754,2024,11,San Diego State,New Mexico,58.10924642862826,65.0,37.0,-6.890753571371739,under,under,0.9090909090909091,win,11.4,58.400000000000006,0,24.18181818181822,0.07240065323897671
401636918,2024,11,Cincinnati,West Virginia,60.24575128543607,54.5,55.0,5.7457512854360715,over,over,0.9090909090909091,win,9.3,52.7,0,25.09090909090913,0.07489823609226606
401635606,2024,11,Boston College,Syracuse,55.11998154163199,52.0,68.0,3.1199815416319865,over,over,0.9090909090909091,win,15.4,43.7,0,26.00000000000004,0.0773809523809525
401643828,2024,11,UL Monroe,Texas State,55.67988045198583,50.0,55.0,5.679880451985831,over,over,0.9090909090909091,win,,,0,26.90909090909095,0.0798489344483411
401635609,2024,11,Georgia Tech,Miami,59.87476639621491,65.0,51.0,-5.125233603785091,under,under,0.9090909090909091,win,13.6,66.05,0,27.81818181818186,0.08230231307154397
401643829,2024,11,Southern Miss,Marshall,59.170254679838536,53.5,40.0,5.670254679838536,over,under,-1.0,loss,10.2,77.35,0,28.63636363636368,0.08397760597174099
401645364,2024,11,Tulane,Temple,53.957166939386035,50.5,58.0,3.4571669393860347,over,over,0.9090909090909091,win,16.5,79.30000000000001,0,29.54545454545459,0.08639021796916546
401628416,2024,11,Tennessee,Mississippi State,57.73056845254567,61.5,47.0,-3.7694315474543316,under,under,0.9090909090909091,win,8.9,64.6,0,29.4545454545455,0.0856236786469346
401636920,2024,11,TCU,Oklahoma State,61.94641651135651,68.5,51.0,-6.55358348864349,under,under,0.9090909090909091,win,6.3,63.0,0,30.36363636363641,0.08801054018445337
401628984,2024,11,Notre Dame,Florida State,48.88097122092266,44.0,55.0,4.88097122092266,over,over,0.9090909090909091,win,17.2,54.95,0,31.27272727272732,0.09038360483447203
401635610,2024,11,Pittsburgh,Virginia,51.764224739071075,58.0,43.0,-6.235775260928925,under,under,0.9090909090909091,win,13.1,52.55,0,33.090909090909136,0.09508881922675039
401628546,2024,11,Penn State,Washington,52.97685839095953,48.0,41.0,4.976858390959528,over,under,-1.0,loss,9.3,44.0,0,32.090909090909136,0.09195102891377976
401643753,2024,11,Hawai'i,UNLV,57.41317944243606,51.5,56.0,5.913179442436061,over,over,0.9090909090909091,win,16.6,78.6,0,33.00000000000004,0.0942857142857144
401643756,2024,11,Washington State,Utah State,63.02399778792459,69.0,77.0,-5.976002212075407,under,over,-1.0,loss,11.7,42.3,0,33.818181818181856,0.09580221478238486
401644766,2024,12,Northern Illinois,Akron,47.06824961437355,43.5,45.0,3.568249614373549,over,over,0.9090909090909091,win,12.9,50.45,0,34.72727272727276,0.09809964047252193
401644767,2024,12,Ohio,Eastern Michigan,46.591511110552375,51.5,45.0,-4.908488889447625,under,under,0.9090909090909091,win,12.6,47.95,0,35.63636363636367,0.10038412291933428
401645365,2024,12,Tulsa,East Carolina,57.16252411899317,64.0,69.0,-6.8374758810068315,under,over,-1.0,loss,9.2,52.4,0,34.63636363636367,0.09729315628192042
401643759,2024,12,Colorado State,Wyoming,53.190092733579334,47.0,34.0,6.190092733579334,over,under,-1.0,loss,10.3,40.3,0,33.63636363636367,0.09421950598421196
401629046,2024,12,Massachusetts,Liberty,56.446969066657495,52.0,69.0,4.446969066657495,over,over,0.9090909090909091,win,,,0,34.36363636363639,0.09492717227523864
401645370,2024,12,Navy,Tulane,55.83530948195885,50.0,35.0,5.835309481958852,over,under,-1.0,loss,13.9,53.95,0,33.36363636363639,0.09191084397695974
