game_id,season,week,home_team,away_team,bet_side,bet_team,book_odds,model_wp,fair_book_prob,edge_prob,ev,won,home_win,pnl,result,cumulative_pnl,running_roi
401752849,2025,5,Minnesota,Rutgers,away,Rutgers,180.0,0.38559302818197594,0.3418803418803419,0.04371268630163405,0.07966047890953265,0,1,-1.0,loss,-51.19696607342627,-0.0734533229173978
401760380,2025,5,Northern Illinois,San Diego State,home,Northern Illinois,125.0,0.473535088487618,0.42888402625820565,0.04465106222941234,0.06545394909714042,0,0,-1.0,loss,-56.54696607342627,-0.07998156446029175
401754556,2025,6,Virginia Tech,Wake Forest,away,Wake Forest,180.0,0.38311828407278237,0.3418803418803419,0.04123794219244048,0.0727311954037907,1,0,1.8,win,-66.42773530419551,-0.09062446835497341
401762829,2025,6,Akron,Central Michigan,home,Akron,210.0,0.3407369751966155,0.31111111111111106,0.02962586408550444,0.0562846231095081,1,1,2.1,win,-62.15997214630075,-0.08399996235986588
401760385,2025,6,Wyoming,UNLV,home,Wyoming,190.0,0.3720941385798963,0.33099297893681046,0.04110115964308586,0.0790730018816993,0,0,-1.0,loss,-52.55997214630075,-0.0703614084957172
401761622,2025,7,Georgia Southern,Southern Miss,home,Georgia Southern,115.0,0.4954554494809994,0.447405997144217,0.04804945233678237,0.06522921638414869,0,0,-1.0,loss,-57.504945691274294,-0.07586404444759141
401756920,2025,7,Oklahoma State,Houston,home,Oklahoma State,410.0,0.2095430214949676,0.1867248194084776,0.02281820208648999,0.06866940962433465,0,0,-1.0,loss,-59.104945691274295,-0.07746388688240406
401761625,2025,7,James Madison,Louisiana,away,Louisiana,550.0,0.16358770932400202,0.14671814671814673,0.016869562605855287,0.06332011060601317,0,1,-1.0,loss,-62.354945691274295,-0.08098044894970688
401762837,2025,7,Kent State,Massachusetts,away,Massachusetts,115.0,0.49384962888104633,0.447405997144217,0.046443631736829305,0.06177670209424957,0,1,-1.0,loss,-62.354945691274295,-0.08077065504051074
401754565,2025,8,Clemson,SMU,away,SMU,275.0,0.2864601597887495,0.2553191489361702,0.03114101085257931,0.07422559920781069,1,0,2.75,win,-60.220115557693184,-0.07361872317566404
401752875,2025,8,Iowa,Penn State,away,Penn State,125.0,0.4685463347015949,0.42888402625820565,0.03966230844338925,0.0542292530785885,0,1,-1.0,loss,-57.88678222435985,-0.0699961090983795
401754568,2025,8,Syracuse,Pittsburgh,home,Syracuse,330.0,0.2501920728937094,0.2220394736842105,0.02815259920949892,0.07582591344295053,0,0,-1.0,loss,-59.67401626691304,-0.07189640514085908
401752748,2025,9,LSU,Texas A&M,home,LSU,110.0,0.5122438687623417,0.4572564612326044,0.05498740752973735,0.07571212440091768,0,0,-1.0,loss,-66.42823659855273,-0.0770629194878802
401754585,2025,11,Louisville,California,away,California,700.0,0.13261880700139506,0.11926605504587155,0.013352751955523504,0.06095045601116045,1,0,7.0,win,-58.89691791723409,-0.0636035830639677
401762510,2025,12,Navy,South Florida,home,Navy,295.0,0.2671707026695469,0.241319871952721,0.025850830716825896,0.05532427554471031,1,1,2.95,win,-54.8030154782097,-0.058115604960985896
401760410,2025,12,San Diego State,Boise State,away,Boise State,120.0,0.4857726106615109,0.43795620437956206,0.04781640628194883,0.06869974345532393,0,1,-1.0,loss,-64.68515160320297,-0.06696185466170079
401754601,2025,13,Georgia Tech,Pittsburgh,away,Pittsburgh,115.0,0.4984532427123797,0.447405997144217,0.05104724556816265,0.07167447183161624,1,0,1.15,win,-74.89877113406388,-0.07535087639241839
