season,conference,team,offense,defense
2015,Sun Belt,Louisiana,"{'overall': 0.14, 'passing': 0.14, 'rushing': 0.14, 'firstDown': 0.07, 'secondDown': 0.13, 'thirdDown': 0.29, 'cumulative': {'total': 117.2, 'passing': 56.96, 'rushing': 60.6}}","{'overall': 0.2, 'passing': 0.35, 'rushing': 0.08, 'firstDown': 0.01, 'secondDown': 0.1, 'thirdDown': 0.68, 'cumulative': {'total': 168.2, 'passing': 1327.9, 'rushing': 38.2}}"
2015,Conference USA,Louisiana Tech,"{'overall': 0.23, 'passing': 0.34, 'rushing': 0.13, 'firstDown': 0.07, 'secondDown': 0.31, 'thirdDown': 0.52, 'cumulative': {'total': 214.8, 'passing': 166.61, 'rushing': 54.6}}","{'overall': 0.08, 'passing': 0.21, 'rushing': -0.04, 'firstDown': -0.12, 'secondDown': 0.03, 'thirdDown': 0.6, 'cumulative': {'total': 78.8, 'passing': 1048.3, 'rushing': -15.7}}"
2015,ACC,Louisville,"{'overall': 0.15, 'passing': 0.16, 'rushing': 0.16, 'firstDown': 0.01, 'secondDown': 0.17, 'thirdDown': 0.49, 'cumulative': {'total': 140.5, 'passing': 71.81, 'rushing': 73.4}}","{'overall': 0.09, 'passing': 0.2, 'rushing': -0.01, 'firstDown': -0.11, 'secondDown': -0.01, 'thirdDown': 0.56, 'cumulative': {'total': 83.7, 'passing': 911.9, 'rushing': -6.4}}"
2015,SEC,LSU,"{'overall': 0.28, 'passing': 0.33, 'rushing': 0.28, 'firstDown': 0.1, 'secondDown': 0.33, 'thirdDown': 0.69, 'cumulative': {'total': 223.1, 'passing': 96.27, 'rushing': 136.1}}","{'overall': 0.12, 'passing': 0.13, 'rushing': 0.11, 'firstDown': 0.03, 'secondDown': 0.05, 'thirdDown': 0.36, 'cumulative': {'total': 94.5, 'passing': 569.5, 'rushing': 40.2}}"
2015,Conference USA,Marshall,"{'overall': 0.12, 'passing': 0.19, 'rushing': 0.07, 'firstDown': -0.04, 'secondDown': 0.19, 'thirdDown': 0.4, 'cumulative': {'total': 121.4, 'passing': 92.05, 'rushing': 34.8}}","{'overall': 0, 'passing': -0.05, 'rushing': 0.06, 'firstDown': -0.08, 'secondDown': 0.05, 'thirdDown': 0.2, 'cumulative': {'total': 2.5, 'passing': -222.8, 'rushing': 31.2}}"
2015,Big Ten,Maryland,"{'overall': 0.06, 'passing': -0.05, 'rushing': 0.18, 'firstDown': -0.11, 'secondDown': 0.16, 'thirdDown': 0.31, 'cumulative': {'total': 50.9, 'passing': -21.81, 'rushing': 75}}","{'overall': 0.16, 'passing': 0.28, 'rushing': 0.07, 'firstDown': 0.07, 'secondDown': 0.15, 'thirdDown': 0.4, 'cumulative': {'total': 149.8, 'passing': 1146.4, 'rushing': 33.1}}"
2015,Mid-American,Massachusetts,"{'overall': 0.09, 'passing': 0.08, 'rushing': 0.14, 'firstDown': -0.03, 'secondDown': 0.1, 'thirdDown': 0.41, 'cumulative': {'total': 84.7, 'passing': 42.39, 'rushing': 52.3}}","{'overall': 0.18, 'passing': 0.34, 'rushing': 0.06, 'firstDown': 0.07, 'secondDown': 0.11, 'thirdDown': 0.6, 'cumulative': {'total': 171.3, 'passing': 1446.7, 'rushing': 32.2}}"
2015,American Athletic,Memphis,"{'overall': 0.24, 'passing': 0.4, 'rushing': 0.1, 'firstDown': 0.09, 'secondDown': 0.16, 'thirdDown': 0.68, 'cumulative': {'total': 250.1, 'passing': 192.07, 'rushing': 52.7}}","{'overall': 0.14, 'passing': 0.25, 'rushing': 0.07, 'firstDown': 0.05, 'secondDown': 0.24, 'thirdDown': 0.36, 'cumulative': {'total': 139.9, 'passing': 1113.3, 'rushing': 34.8}}"
2015,ACC,Miami,"{'overall': 0.16, 'passing': 0.32, 'rushing': 0.01, 'firstDown': 0.01, 'secondDown': 0.19, 'thirdDown': 0.36, 'cumulative': {'total': 143.7, 'passing': 147.2, 'rushing': 2.7}}","{'overall': 0.17, 'passing': 0.14, 'rushing': 0.21, 'firstDown': 0.05, 'secondDown': 0.23, 'thirdDown': 0.45, 'cumulative': {'total': 157.5, 'passing': 616, 'rushing': 100.8}}"
2015,Mid-American,Miami (OH),"{'overall': 0.03, 'passing': 0.11, 'rushing': -0.04, 'firstDown': -0.04, 'secondDown': -0.01, 'thirdDown': 0.24, 'cumulative': {'total': 21.9, 'passing': 42.52, 'rushing': -15}}","{'overall': 0.13, 'passing': 0.21, 'rushing': 0.06, 'firstDown': 0.03, 'secondDown': 0.24, 'thirdDown': 0.2, 'cumulative': {'total': 117, 'passing': 837.3, 'rushing': 28.1}}"
2015,Big Ten,Michigan,"{'overall': 0.18, 'passing': 0.31, 'rushing': 0.1, 'firstDown': -0.02, 'secondDown': 0.23, 'thirdDown': 0.62, 'cumulative': {'total': 164.4, 'passing': 136.04, 'rushing': 46.3}}","{'overall': 0.01, 'passing': -0.04, 'rushing': 0.06, 'firstDown': -0.13, 'secondDown': 0.13, 'thirdDown': 0.1, 'cumulative': {'total': 4.9, 'passing': -169.3, 'rushing': 26.4}}"
2015,Big Ten,Michigan State,"{'overall': 0.14, 'passing': 0.33, 'rushing': 0.02, 'firstDown': -0.08, 'secondDown': 0.19, 'thirdDown': 0.66, 'cumulative': {'total': 142.6, 'passing': 149.28, 'rushing': 10.1}}","{'overall': 0.11, 'passing': 0.2, 'rushing': 0.02, 'firstDown': 0, 'secondDown': 0.02, 'thirdDown': 0.41, 'cumulative': {'total': 98, 'passing': 919.1, 'rushing': 6.4}}"
2015,Conference USA,Middle Tennessee,"{'overall': 0.19, 'passing': 0.37, 'rushing': 0.01, 'firstDown': -0.02, 'secondDown': 0.25, 'thirdDown': 0.53, 'cumulative': {'total': 189.1, 'passing': 189.1, 'rushing': 4.7}}","{'overall': 0.05, 'passing': 0.08, 'rushing': 0.07, 'firstDown': -0.09, 'secondDown': 0.18, 'thirdDown': 0.21, 'cumulative': {'total': 52.1, 'passing': 378.9, 'rushing': 30.5}}"
