game_id,wind_speed,temp_avg,precipitation,is_dome
400945282,11.2,70.55,0.0,0
400935303,25.8,49.55,0.378,0
400945005,16.7,48.2,0.0,0
400945006,14.7,45.5,0.0,0
400944861,6.5,53.75,0.0,0
400935304,7.7,56.55,0.0,0
400937504,12.3,54.7,0.0,0
400941830,11.9,42.25,0.0,0
400941831,11.2,47.3,0.0,0
400945007,8.3,41.95,0.264,0
400934537,9.4,50.45,0.488,0
400934538,11.8,51.0,0.0,0
400937508,9.7,59.35,0.004,0
400933900,10.4,44.65,0.016,0
400935393,11.7,39.4,0.0,0
400935390,12.6,37.0,0.0,0
400937507,11.8,57.849999999999994,0.031,0
400937509,9.6,47.25,0.654,0
400935308,7.5,46.0,0.0,0
400938643,9.4,47.599999999999994,0.626,0
400945283,18.8,47.95,0.0,0
400934536,10.0,38.3,0.0,0
400945288,3.9,48.0,0.0,0
400933898,6.1,68.8,0.059,0
400934540,15.1,37.1,0.0,0
400935394,8.7,40.1,0.413,0
400934579,13.8,37.7,0.012,0
400944864,11.0,54.55,0.539,0
400938893,,,,0
400938645,17.2,51.7,0.0,0
400935392,14.9,59.8,0.0,0
400935307,5.2,54.4,0.0,0
400935389,15.5,39.25,0.004,0
400941839,7.9,69.2,0.366,0
400933902,13.4,63.25,0.0,0
400938644,7.6,43.35,0.402,0
400944865,,,,0
400935309,7.2,54.75,0.0,0
400944863,9.7,66.85,0.008,0
400933901,,,,0
400935391,16.7,34.1,0.0,0
400938646,9.8,47.15,0.0,0
400938647,10.8,50.95,0.28,0
400933903,13.5,51.45,0.0,0
400937506,11.1,53.35,0.386,0
400933899,8.7,41.05,0.528,0
400935395,13.4,37.8,0.0,0
400945285,18.7,39.7,0.0,0
400938648,6.6,56.45,0.0,0
400937505,14.0,48.45,0.244,0
400944862,6.6,59.9,0.0,0
400934539,10.6,55.05,0.0,0
400935305,9.1,73.65,0.0,0
400945286,6.5,69.4,0.0,0
400945284,4.4,47.85,0.0,0
400935306,10.5,78.1,0.0,0
400945287,8.6,76.1,0.0,0
400945008,9.6,39.35,0.303,0
400945009,9.9,43.35,0.248,0
400945010,8.4,46.25,0.315,0
400945012,17.0,53.8,0.594,0
400945011,10.1,51.25,0.665,0
400941834,12.7,64.05,0.0,0
400944866,5.4,68.85,0.0,0
400938675,12.3,74.95,0.0,0
400941835,11.2,61.4,0.0,0
400935310,13.9,47.25,0.039,0
