season,team,portal_talent_in,portal_talent_out,portal_net_rating,portal_count_in,portal_count_out,portal_net_count,portal_stars_in_avg,portal_qb_in,portal_qb_out
2021,UNLV,0.0,84.0,-84.0,6.0,14.0,-8.0,2.8333333333333335,1.0,1.0
2021,USC,686.0,355.0,331.0,9.0,9.0,0.0,3.111111111111111,0.0,0.0
2021,UT Martin,0.0,0.0,0.0,2.0,1.0,1.0,2.5,0.0,0.0
2021,UTEP,0.0,0.0,0.0,4.0,11.0,-7.0,1.0,1.0,0.0
2021,UTSA,81.0,0.0,81.0,9.0,6.0,3.0,2.5555555555555554,0.0,1.0
2021,University of Mary,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2021,Utah,331.0,333.0,-2.0,8.0,17.0,-9.0,3.25,0.0,1.0
2021,Utah State,161.0,247.0,-86.0,12.0,16.0,-4.0,2.75,1.0,1.0
2021,Utah Tech,0.0,0.0,0.0,2.0,0.0,2.0,1.5,1.0,0.0
2021,Valdosta State,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
2021,Vanderbilt,164.0,248.0,-84.0,5.0,21.0,-16.0,2.4,1.0,1.0
2021,Villanova,0.0,85.0,-85.0,1.0,1.0,0.0,3.0,0.0,0.0
2021,Virginia,167.0,84.0,83.0,6.0,9.0,-3.0,2.8333333333333335,0.0,0.0
2021,Virginia Tech,249.0,261.0,-12.0,7.0,19.0,-12.0,2.142857142857143,0.0,1.0
2021,Wagner,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0
2021,Wake Forest,242.0,329.0,-87.0,6.0,11.0,-5.0,2.5,0.0,0.0
2021,Washington,247.0,340.0,-93.0,4.0,10.0,-6.0,3.25,0.0,1.0
2021,Washington State,247.0,81.0,166.0,7.0,24.0,-17.0,2.5714285714285716,0.0,1.0
2021,Weber State,0.0,0.0,0.0,2.0,1.0,1.0,3.5,0.0,0.0
2021,West Alabama,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0
2021,West Florida,0.0,0.0,0.0,2.0,0.0,2.0,2.5,0.0,0.0
2021,West Texas A&M,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
2021,West Virginia,172.0,423.0,-251.0,2.0,23.0,-21.0,3.5,0.0,1.0
2021,Western Carolina,0.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0
2021,Western Illinois,0.0,0.0,0.0,5.0,0.0,5.0,1.8,0.0,0.0
2021,Western Kentucky,165.0,83.0,82.0,19.0,24.0,-5.0,2.526315789473684,0.0,1.0
2021,Western Michigan,0.0,84.0,-84.0,1.0,7.0,-6.0,3.0,0.0,0.0
2021,Winston-Salem State,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
2021,Wisconsin,83.0,85.0,-2.0,2.0,8.0,-6.0,3.0,0.0,0.0
2021,Wofford,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
2021,Wyoming,0.0,0.0,0.0,1.0,4.0,-3.0,3.0,0.0,0.0
2021,Yale,0.0,80.0,-80.0,0.0,1.0,-1.0,0.0,0.0,0.0
2021,Youngstown State,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
2022,Abilene Christian,0.0,249.0,-249.0,9.0,4.0,5.0,2.6666666666666665,1.0,0.0
2022,Air Force,0.0,152.0,-152.0,0.0,9.0,-9.0,0.0,0.0,1.0
2022,Akron,661.0,427.0,234.0,15.0,10.0,5.0,3.066666666666667,0.0,1.0
2022,Alabama,472.0,1227.0,-755.0,5.0,24.0,-19.0,4.4,0.0,1.0
2022,Alabama A&M,242.0,0.0,242.0,11.0,1.0,10.0,2.909090909090909,1.0,0.0
2022,Alabama State,329.0,0.0,329.0,7.0,0.0,7.0,2.857142857142857,1.0,0.0
