year,team,conference,fpi,resumeRanks,efficiencies
2015,Georgia Southern,Sun Belt,5.42,"{'strengthOfRecord': 49, 'fpi': 55, 'averageWinProbability': 22, 'strengthOfSchedule': 104, 'remainingStrengthOfSchedule': None, 'gameControl': 46}","{'overall': 64.377, 'offense': 60.015, 'defense': 62.38, 'specialTeams': 53.78}"
2015,App State,Sun Belt,5.38,"{'strengthOfRecord': 41, 'fpi': 57, 'averageWinProbability': 14, 'strengthOfSchedule': 128, 'remainingStrengthOfSchedule': None, 'gameControl': 52}","{'overall': 56.484, 'offense': 51.25, 'defense': 62.106, 'specialTeams': 41.367}"
2015,Alabama,SEC,27.35,"{'strengthOfRecord': 1, 'fpi': 1, 'averageWinProbability': 3, 'strengthOfSchedule': 1, 'remainingStrengthOfSchedule': None, 'gameControl': 1}","{'overall': 89.982, 'offense': 74.736, 'defense': 91.622, 'specialTeams': 61.655}"
2015,Ole Miss,SEC,23.601,"{'strengthOfRecord': 8, 'fpi': 4, 'averageWinProbability': 6, 'strengthOfSchedule': 23, 'remainingStrengthOfSchedule': None, 'gameControl': 3}","{'overall': 84.02, 'offense': 85.366, 'defense': 73.002, 'specialTeams': 45.888}"
2015,Mississippi State,SEC,16.677,"{'strengthOfRecord': 18, 'fpi': 17, 'averageWinProbability': 39, 'strengthOfSchedule': 12, 'remainingStrengthOfSchedule': None, 'gameControl': 20}","{'overall': 76.305, 'offense': 78.007, 'defense': 65.578, 'specialTeams': 48.498}"
2015,Arkansas,SEC,17.389,"{'strengthOfRecord': 25, 'fpi': 14, 'averageWinProbability': 34, 'strengthOfSchedule': 7, 'remainingStrengthOfSchedule': None, 'gameControl': 15}","{'overall': 74.894, 'offense': 88.416, 'defense': 44.325, 'specialTeams': 49.891}"
2015,Western Michigan,Mid-American,5.412,"{'strengthOfRecord': 55, 'fpi': 56, 'averageWinProbability': 49, 'strengthOfSchedule': 75, 'remainingStrengthOfSchedule': None, 'gameControl': 60}","{'overall': 55.358, 'offense': 66.66, 'defense': 37.394, 'specialTeams': 57.246}"
2015,Ball State,Mid-American,-11.819,"{'strengthOfRecord': 110, 'fpi': 104, 'averageWinProbability': 118, 'strengthOfSchedule': 83, 'remainingStrengthOfSchedule': None, 'gameControl': 112}","{'overall': 19.684, 'offense': 26.836, 'defense': 20.312, 'specialTeams': 61.27}"
2015,Eastern Michigan,Mid-American,-20.223,"{'strengthOfRecord': 126, 'fpi': 126, 'averageWinProbability': 121, 'strengthOfSchedule': 113, 'remainingStrengthOfSchedule': None, 'gameControl': 116}","{'overall': 13.725, 'offense': 35.159, 'defense': 8.761, 'specialTeams': 54.331}"
2015,Central Michigan,Mid-American,-1.872,"{'strengthOfRecord': 77, 'fpi': 85, 'averageWinProbability': 74, 'strengthOfSchedule': 85, 'remainingStrengthOfSchedule': None, 'gameControl': 88}","{'overall': 45.933, 'offense': 45.843, 'defense': 49.653, 'specialTeams': 44.329}"
2015,Northern Illinois,Mid-American,-1.05,"{'strengthOfRecord': 73, 'fpi': 83, 'averageWinProbability': 66, 'strengthOfSchedule': 88, 'remainingStrengthOfSchedule': None, 'gameControl': 80}","{'overall': 47.507, 'offense': 36.918, 'defense': 59.287, 'specialTeams': 47.272}"
2015,Marshall,Conference USA,2.563,"{'strengthOfRecord': 52, 'fpi': 68, 'averageWinProbability': 26, 'strengthOfSchedule': 127, 'remainingStrengthOfSchedule': None, 'gameControl': 66}","{'overall': 54.161, 'offense': 40.251, 'defense': 57.641, 'specialTeams': 74.151}"
2015,Old Dominion,Conference USA,-17.956,"{'strengthOfRecord': 101, 'fpi': 120, 'averageWinProbability': 117, 'strengthOfSchedule': 118, 'remainingStrengthOfSchedule': None, 'gameControl': 116}","{'overall': 17.577, 'offense': 26.48, 'defense': 23.424, 'specialTeams': 32.443}"
2015,Southern Miss,Conference USA,3.57,"{'strengthOfRecord': 63, 'fpi': 65, 'averageWinProbability': 31, 'strengthOfSchedule': 101, 'remainingStrengthOfSchedule': None, 'gameControl': 54}","{'overall': 56.706, 'offense': 60.716, 'defense': 50.609, 'specialTeams': 46.949}"
2015,Buffalo,Mid-American,-10.609,"{'strengthOfRecord': 104, 'fpi': 101, 'averageWinProbability': 96, 'strengthOfSchedule': 126, 'remainingStrengthOfSchedule': None, 'gameControl': 115}","{'overall': 30.903, 'offense': 32.243, 'defense': 39.689, 'specialTeams': 40.675}"
2015,Florida State,ACC,18.007,"{'strengthOfRecord': 24, 'fpi': 13, 'averageWinProbability': 12, 'strengthOfSchedule': 52, 'remainingStrengthOfSchedule': None, 'gameControl': 12}","{'overall': 73.78, 'offense': 69.962, 'defense': 70.262, 'specialTeams': 48.768}"
2015,Boston College,ACC,1.501,"{'strengthOfRecord': 97, 'fpi': 75, 'averageWinProbability': 99, 'strengthOfSchedule': 58, 'remainingStrengthOfSchedule': None, 'gameControl': 89}","{'overall': 45.47, 'offense': 13.052, 'defense': 84.091, 'specialTeams': 40.174}"
2015,Clemson,ACC,22.273,"{'strengthOfRecord': 2, 'fpi': 5, 'averageWinProbability': 1, 'strengthOfSchedule': 17, 'remainingStrengthOfSchedule': None, 'gameControl': 2}","{'overall': 86.336, 'offense': 83.904, 'defense': 84.092, 'specialTeams': 30.771}"
2015,NC State,ACC,8.833,"{'strengthOfRecord': 62, 'fpi': 41, 'averageWinProbability': 44, 'strengthOfSchedule': 63, 'remainingStrengthOfSchedule': None, 'gameControl': 47}","{'overall': 61.372, 'offense': 69.943, 'defense': 48.006, 'specialTeams': 47.645}"
2015,Wake Forest,ACC,-3.393,"{'strengthOfRecord': 92, 'fpi': 86, 'averageWinProbability': 119, 'strengthOfSchedule': 37, 'remainingStrengthOfSchedule': None, 'gameControl': 95}","{'overall': 33.39, 'offense': 23.737, 'defense': 49.075, 'specialTeams': 56.734}"
2015,Virginia Tech,ACC,9.484,"{'strengthOfRecord': 53, 'fpi': 38, 'averageWinProbability': 69, 'strengthOfSchedule': 43, 'remainingStrengthOfSchedule': None, 'gameControl': 59}","{'overall': 58.681, 'offense': 45.125, 'defense': 63.777, 'specialTeams': 64.317}"
