game_id,season,week,team,conference,opponent,off_epa,off_epa_pass,off_epa_rush,def_epa,def_epa_pass,def_epa_rush
400603863,2015,2,Auburn,SEC,Jacksonville State,0.17,0.59,-0.19,0.11,0.13,0.13
400603869,2015,2,Ball State,Mid-American,Texas A&M,0.04,-0.26,0.29,0.39,0.64,0.22
400763408,2015,2,Baylor,Big 12,Lamar,0.49,0.46,0.52,0.1,0.31,-0.05
400787118,2015,2,Boise State,Mountain West,BYU,-0.14,-0.2,-0.05,0.17,0.3,0.05
400756906,2015,2,Boston College,ACC,Howard,0.69,0.82,0.65,-0.46,-0.75,-0.26
400763502,2015,2,Bowling Green,Mid-American,Maryland,0.3,0.39,0.18,0.09,0.1,0.1
400763506,2015,2,Buffalo,Mid-American,Penn State,0.1,0.11,0.1,0.03,0.05,0.08
400787118,2015,2,BYU,FBS Independents,Boise State,0.17,0.3,0.05,-0.14,-0.2,-0.05
400757022,2015,2,California,Pac-12,San Diego State,0.46,0.66,0.3,-0.1,-0.07,-0.12
400787306,2015,2,Central Michigan,Mid-American,Monmouth,0.25,0.63,-0.15,-0.17,-0.18,-0.15
400763594,2015,2,Charlotte,Conference USA,Presbyterian,0.12,0.33,0.0,-0.08,-0.02,-0.08
400764862,2015,2,Cincinnati,American Athletic,Temple,0.14,0.27,-0.01,0.05,0.15,-0.03
400756907,2015,2,Clemson,ACC,App State,0.18,0.32,0.05,-0.21,-0.51,-0.02
400757016,2015,2,Colorado,Pac-12,Massachusetts,0.38,0.48,0.37,0.06,-0.11,0.34
400763499,2015,2,Colorado State,Mountain West,Minnesota,-0.06,-0.06,0.0,0.08,0.17,-0.01
400756908,2015,2,Duke,ACC,North Carolina Central,0.38,0.71,0.23,-0.15,-0.07,-0.26
400603864,2015,2,East Carolina,American Athletic,Florida,-0.01,0.13,-0.36,0.2,0.32,0.11
400787119,2015,2,Eastern Michigan,Mid-American,Wyoming,0.48,1.13,0.07,0.24,-0.53,0.48
400603864,2015,2,Florida,SEC,East Carolina,0.2,0.32,0.11,-0.01,0.13,-0.36
400756912,2015,2,Florida Atlantic,Conference USA,Miami,0.19,0.03,0.42,0.34,0.45,0.25
400763501,2015,2,Florida International,Conference USA,Indiana,0.03,0.02,0.04,0.13,0.18,0.12
400792601,2015,2,Florida State,ACC,South Florida,0.17,0.17,0.15,-0.04,-0.14,0.03
400603866,2015,2,Fresno State,Mountain West,Ole Miss,-0.22,-0.34,-0.17,0.44,0.35,0.54
400603870,2015,2,Georgia,SEC,Vanderbilt,0.16,0.19,0.18,-0.14,-0.17,-0.17
400787308,2015,2,Georgia Southern,Sun Belt,Western Michigan,0.29,0.14,0.35,0.06,0.24,-0.1
400787415,2015,2,Georgia State,Sun Belt,New Mexico State,0.28,0.55,0.09,0.18,0.22,0.06
400756910,2015,2,Georgia Tech,ACC,Tulane,0.63,0.91,0.58,-0.04,-0.01,0.01
400763505,2015,2,Hawai'i,Mountain West,Ohio State,-0.21,-0.38,-0.05,0.07,-0.1,0.24
400756911,2015,2,Houston,American Athletic,Louisville,0.17,0.25,0.15,0.17,0.33,-0.11
400757014,2015,2,Idaho,Sun Belt,USC,-0.01,0.19,-0.29,0.63,0.83,0.47
400763500,2015,2,Illinois,Big Ten,Western Illinois,0.12,0.35,-0.08,-0.28,-0.45,-0.14
400763501,2015,2,Indiana,Big Ten,Florida International,0.13,0.18,0.12,0.03,0.02,0.04
400763409,2015,2,Iowa,Big Ten,Iowa State,0.3,0.53,0.13,0.04,0.13,-0.07
400763409,2015,2,Iowa State,Big 12,Iowa,0.04,0.13,-0.07,0.3,0.53,0.13
400763410,2015,2,Kansas,Big 12,Memphis,0.05,-0.08,0.14,0.45,1.09,0.14
400763414,2015,2,Kansas State,Big 12,UTSA,0.26,0.44,0.22,-0.06,-0.03,-0.17
400787305,2015,2,Kent State,Mid-American,Delaware State,0.04,0.47,-0.15,-0.39,-0.34,-0.42
400603867,2015,2,Kentucky,SEC,South Carolina,0.28,0.16,0.37,0.13,0.11,0.23
400787416,2015,2,Louisiana,Sun Belt,Northwestern State,0.77,1.11,0.73,0.12,0.0,0.18
400763599,2015,2,Louisiana Tech,Conference USA,Western Kentucky,0.24,0.18,0.37,0.25,0.68,-0.18
400756911,2015,2,Louisville,ACC,Houston,0.17,0.33,-0.11,0.17,0.25,0.15
400603865,2015,2,LSU,SEC,Mississippi State,0.08,-0.1,0.13,0.11,0.15,0.05
400763595,2015,2,Marshall,Conference USA,Ohio,-0.07,-0.22,0.13,0.06,-0.13,0.19
400763502,2015,2,Maryland,Big Ten,Bowling Green,0.09,0.1,0.1,0.3,0.39,0.18
400757016,2015,2,Massachusetts,Mid-American,Colorado,0.06,-0.11,0.34,0.38,0.48,0.37
400763410,2015,2,Memphis,American Athletic,Kansas,0.45,1.09,0.14,0.05,-0.08,0.14
400756912,2015,2,Miami,ACC,Florida Atlantic,0.34,0.45,0.25,0.19,0.03,0.42
400763508,2015,2,Miami (OH),Mid-American,Wisconsin,-0.16,-0.01,-0.41,0.25,0.37,0.23
400757019,2015,2,Michigan,Big Ten,Oregon State,0.2,0.15,0.25,-0.18,-0.28,-0.1
400757018,2015,2,Michigan State,Big Ten,Oregon,0.05,0.29,0.03,0.1,0.29,-0.1
400603860,2015,2,Middle Tennessee,Conference USA,Alabama,-0.11,0.1,-0.33,0.19,0.09,0.3
400763499,2015,2,Minnesota,Big Ten,Colorado State,0.08,0.17,-0.01,-0.06,-0.06,0.0
400603865,2015,2,Mississippi State,SEC,LSU,0.11,0.15,0.05,0.08,-0.1,0.13
400603862,2015,2,Missouri,SEC,Arkansas State,0.04,0.06,0.03,-0.09,0.11,-0.21
400756914,2015,2,NC State,ACC,Eastern Kentucky,0.27,0.48,0.13,-0.25,-0.13,-0.39
400763503,2015,2,Nebraska,Big Ten,South Alabama,0.41,0.55,0.33,0.01,0.3,-0.6
400756892,2015,2,Nevada,Mountain West,Arizona,0.08,0.15,0.02,0.36,0.32,0.38
400764863,2015,2,New Mexico,Mountain West,Tulsa,0.1,0.23,0.03,0.26,0.62,0.13
400787415,2015,2,New Mexico State,Sun Belt,Georgia State,0.18,0.22,0.06,0.28,0.55,0.09
400756913,2015,2,North Carolina,ACC,North Carolina A&T,0.41,0.77,0.16,0.04,0.22,-0.06
400787307,2015,2,Northern Illinois,Mid-American,Murray State,0.37,0.54,0.22,-0.05,-0.07,0.03
400763597,2015,2,North Texas,Conference USA,SMU,-0.1,0.12,-0.25,0.04,0.44,-0.22
400763504,2015,2,Northwestern,Big Ten,Eastern Illinois,0.2,0.85,0.05,-0.47,-0.81,-0.17
400756917,2015,2,Notre Dame,FBS Independents,Virginia,0.26,0.19,0.35,0.35,0.58,0.04
400763595,2015,2,Ohio,Mid-American,Marshall,0.06,-0.13,0.19,-0.07,-0.22,0.13
400763505,2015,2,Ohio State,Big Ten,Hawai'i,0.07,-0.1,0.24,-0.21,-0.38,-0.05
400603868,2015,2,Oklahoma,Big 12,Tennessee,0.07,0.1,0.05,-0.13,-0.26,0.0
400763411,2015,2,Oklahoma State,Big 12,Central Arkansas,0.35,0.7,0.01,-0.08,0.14,-0.24
400763596,2015,2,Old Dominion,Conference USA,Norfolk State,0.2,0.31,0.18,-0.11,-0.07,-0.18
400603866,2015,2,Ole Miss,SEC,Fresno State,0.44,0.35,0.54,-0.22,-0.34,-0.17
400757018,2015,2,Oregon,Pac-12,Michigan State,0.1,0.29,-0.1,0.05,0.29,0.03
400757019,2015,2,Oregon State,Pac-12,Michigan,-0.18,-0.28,-0.1,0.2,0.15,0.25
400763506,2015,2,Penn State,Big Ten,Buffalo,0.03,0.05,0.08,0.1,0.11,0.1
400756915,2015,2,Pittsburgh,ACC,Akron,0.03,0.26,-0.1,-0.13,-0.22,-0.03
400763507,2015,2,Purdue,Big Ten,Indiana State,0.26,0.5,0.09,0.0,-0.08,0.09
