season,conference,team,offense,defense
2025,Big Ten,Illinois,"{'overall': 0.21, 'passing': 0.4, 'rushing': 0.09, 'firstDown': 0.03, 'secondDown': 0.33, 'thirdDown': 0.46, 'cumulative': {'total': 172.7, 'passing': 157.51, 'rushing': 37}}","{'overall': 0.19, 'passing': 0.3, 'rushing': 0.08, 'firstDown': 0.02, 'secondDown': 0.14, 'thirdDown': 0.61, 'cumulative': {'total': 164.7, 'passing': 1330, 'rushing': 31.7}}"
2025,Big Ten,Indiana,"{'overall': 0.34, 'passing': 0.57, 'rushing': 0.23, 'firstDown': 0.14, 'secondDown': 0.35, 'thirdDown': 0.83, 'cumulative': {'total': 370.7, 'passing': 244.81, 'rushing': 145.4}}","{'overall': 0.01, 'passing': 0.13, 'rushing': -0.07, 'firstDown': -0.18, 'secondDown': 0.02, 'thirdDown': 0.39, 'cumulative': {'total': 13, 'passing': 691.3, 'rushing': -25.5}}"
2025,Big Ten,Iowa,"{'overall': 0.15, 'passing': 0.24, 'rushing': 0.16, 'firstDown': -0.03, 'secondDown': 0.19, 'thirdDown': 0.45, 'cumulative': {'total': 123.2, 'passing': 70.82, 'rushing': 79}}","{'overall': 0.05, 'passing': 0.13, 'rushing': 0.04, 'firstDown': -0.01, 'secondDown': 0.08, 'thirdDown': 0.25, 'cumulative': {'total': 42.9, 'passing': 524.1, 'rushing': 17.2}}"
2025,Big 12,Iowa State,"{'overall': 0.19, 'passing': 0.29, 'rushing': 0.16, 'firstDown': 0.07, 'secondDown': 0.17, 'thirdDown': 0.37, 'cumulative': {'total': 157.5, 'passing': 103.8, 'rushing': 72.2}}","{'overall': 0.09, 'passing': 0.24, 'rushing': 0.02, 'firstDown': -0.06, 'secondDown': 0.05, 'thirdDown': 0.5, 'cumulative': {'total': 70.1, 'passing': 924.3, 'rushing': 5.7}}"
2025,Conference USA,Jacksonville State,"{'overall': 0.19, 'passing': 0.17, 'rushing': 0.21, 'firstDown': 0.07, 'secondDown': 0.14, 'thirdDown': 0.49, 'cumulative': {'total': 181.3, 'passing': 57.2, 'rushing': 129.2}}","{'overall': 0.15, 'passing': 0.24, 'rushing': 0.11, 'firstDown': -0.05, 'secondDown': 0.23, 'thirdDown': 0.42, 'cumulative': {'total': 145.1, 'passing': 1050.6, 'rushing': 51.2}}"
2025,Sun Belt,James Madison,"{'overall': 0.23, 'passing': 0.28, 'rushing': 0.24, 'firstDown': 0.12, 'secondDown': 0.11, 'thirdDown': 0.71, 'cumulative': {'total': 224.2, 'passing': 108.83, 'rushing': 140.4}}","{'overall': 0, 'passing': 0.06, 'rushing': -0.03, 'firstDown': -0.18, 'secondDown': 0.05, 'thirdDown': 0.2, 'cumulative': {'total': 1.5, 'passing': 257, 'rushing': -10.6}}"
2025,Big 12,Kansas,"{'overall': 0.21, 'passing': 0.29, 'rushing': 0.19, 'firstDown': 0.12, 'secondDown': 0.2, 'thirdDown': 0.41, 'cumulative': {'total': 168.2, 'passing': 103.51, 'rushing': 76.9}}","{'overall': 0.24, 'passing': 0.36, 'rushing': 0.12, 'firstDown': 0.04, 'secondDown': 0.17, 'thirdDown': 0.52, 'cumulative': {'total': 188.4, 'passing': 1352.6, 'rushing': 48.3}}"
2025,Big 12,Kansas State,"{'overall': 0.21, 'passing': 0.25, 'rushing': 0.18, 'firstDown': 0, 'secondDown': 0.19, 'thirdDown': 0.52, 'cumulative': {'total': 158.6, 'passing': 89.17, 'rushing': 69.4}}","{'overall': 0.12, 'passing': 0.15, 'rushing': 0.11, 'firstDown': -0.05, 'secondDown': 0.06, 'thirdDown': 0.52, 'cumulative': {'total': 104.3, 'passing': 616.3, 'rushing': 52.1}}"
2025,Conference USA,Kennesaw State,"{'overall': 0.15, 'passing': 0.28, 'rushing': 0.12, 'firstDown': -0.07, 'secondDown': 0.14, 'thirdDown': 0.63, 'cumulative': {'total': 150.5, 'passing': 121.49, 'rushing': 61.4}}","{'overall': 0.17, 'passing': 0.23, 'rushing': 0.15, 'firstDown': 0.09, 'secondDown': 0.14, 'thirdDown': 0.38, 'cumulative': {'total': 162.8, 'passing': 1020.1, 'rushing': 75.5}}"
2025,Mid-American,Kent State,"{'overall': 0.07, 'passing': 0.25, 'rushing': -0.04, 'firstDown': -0.1, 'secondDown': 0.15, 'thirdDown': 0.25, 'cumulative': {'total': 45.9, 'passing': 75.63, 'rushing': -13.3}}","{'overall': 0.2, 'passing': 0.28, 'rushing': 0.16, 'firstDown': 0.03, 'secondDown': 0.2, 'thirdDown': 0.63, 'cumulative': {'total': 176.4, 'passing': 1123.4, 'rushing': 74.3}}"
2025,SEC,Kentucky,"{'overall': 0.09, 'passing': 0.18, 'rushing': 0.09, 'firstDown': -0.06, 'secondDown': 0.17, 'thirdDown': 0.29, 'cumulative': {'total': 75.1, 'passing': 67.78, 'rushing': 34.8}}","{'overall': 0.17, 'passing': 0.3, 'rushing': 0.07, 'firstDown': 0.02, 'secondDown': 0.19, 'thirdDown': 0.46, 'cumulative': {'total': 137.3, 'passing': 1130.6, 'rushing': 27.5}}"
2025,Conference USA,Liberty,"{'overall': 0.17, 'passing': 0.23, 'rushing': 0.17, 'firstDown': 0, 'secondDown': 0.21, 'thirdDown': 0.52, 'cumulative': {'total': 135.3, 'passing': 72.41, 'rushing': 81.6}}","{'overall': 0.2, 'passing': 0.25, 'rushing': 0.19, 'firstDown': 0, 'secondDown': 0.12, 'thirdDown': 0.62, 'cumulative': {'total': 160.3, 'passing': 860.7, 'rushing': 78.5}}"
2025,Sun Belt,Louisiana,"{'overall': 0.11, 'passing': 0.14, 'rushing': 0.13, 'firstDown': -0.03, 'secondDown': -0.06, 'thirdDown': 0.56, 'cumulative': {'total': 94.9, 'passing': 48.74, 'rushing': 60}}","{'overall': 0.2, 'passing': 0.27, 'rushing': 0.19, 'firstDown': 0.15, 'secondDown': 0.14, 'thirdDown': 0.51, 'cumulative': {'total': 170.1, 'passing': 1036.8, 'rushing': 90.7}}"
2025,Conference USA,Louisiana Tech,"{'overall': 0.14, 'passing': 0.18, 'rushing': 0.15, 'firstDown': 0.08, 'secondDown': 0.02, 'thirdDown': 0.51, 'cumulative': {'total': 122.6, 'passing': 60.29, 'rushing': 76.7}}","{'overall': 0.05, 'passing': 0.11, 'rushing': 0.02, 'firstDown': -0.15, 'secondDown': 0.04, 'thirdDown': 0.54, 'cumulative': {'total': 40.9, 'passing': 519.7, 'rushing': 8.3}}"
2025,ACC,Louisville,"{'overall': 0.15, 'passing': 0.16, 'rushing': 0.19, 'firstDown': 0.08, 'secondDown': 0.12, 'thirdDown': 0.31, 'cumulative': {'total': 131.1, 'passing': 70.59, 'rushing': 75.6}}","{'overall': 0.06, 'passing': 0.06, 'rushing': 0.08, 'firstDown': -0.09, 'secondDown': 0.09, 'thirdDown': 0.31, 'cumulative': {'total': 50.8, 'passing': 272.2, 'rushing': 31.3}}"
2025,SEC,LSU,"{'overall': 0.09, 'passing': 0.21, 'rushing': 0.02, 'firstDown': -0.04, 'secondDown': 0.07, 'thirdDown': 0.41, 'cumulative': {'total': 72.4, 'passing': 96.97, 'rushing': 7.2}}","{'overall': 0.08, 'passing': 0.17, 'rushing': 0.03, 'firstDown': -0.06, 'secondDown': 0.12, 'thirdDown': 0.32, 'cumulative': {'total': 71.4, 'passing': 738.6, 'rushing': 10.8}}"
2025,Sun Belt,Marshall,"{'overall': 0.16, 'passing': 0.37, 'rushing': 0.02, 'firstDown': 0.19, 'secondDown': 0.03, 'thirdDown': 0.39, 'cumulative': {'total': 138.8, 'passing': 128.64, 'rushing': 10.6}}","{'overall': 0.16, 'passing': 0.34, 'rushing': 0.04, 'firstDown': 0.11, 'secondDown': 0.03, 'thirdDown': 0.5, 'cumulative': {'total': 141.9, 'passing': 1425, 'rushing': 15.9}}"
2025,Big Ten,Maryland,"{'overall': 0.11, 'passing': 0.2, 'rushing': 0, 'firstDown': -0.02, 'secondDown': 0.15, 'thirdDown': 0.42, 'cumulative': {'total': 90.7, 'passing': 99, 'rushing': 1.3}}","{'overall': 0.11, 'passing': 0.16, 'rushing': 0.13, 'firstDown': 0.01, 'secondDown': 0.05, 'thirdDown': 0.43, 'cumulative': {'total': 97.4, 'passing': 622.5, 'rushing': 57.6}}"
2025,Mid-American,Massachusetts,"{'overall': -0.03, 'passing': -0.01, 'rushing': -0.04, 'firstDown': -0.2, 'secondDown': 0.07, 'thirdDown': 0.26, 'cumulative': {'total': -24.7, 'passing': -5.08, 'rushing': -14.6}}","{'overall': 0.26, 'passing': 0.44, 'rushing': 0.17, 'firstDown': 0.07, 'secondDown': 0.35, 'thirdDown': 0.48, 'cumulative': {'total': 224.3, 'passing': 1437.9, 'rushing': 87.5}}"
2025,American Athletic,Memphis,"{'overall': 0.25, 'passing': 0.21, 'rushing': 0.29, 'firstDown': 0.09, 'secondDown': 0.24, 'thirdDown': 0.57, 'cumulative': {'total': 220.4, 'passing': 92.32, 'rushing': 126.1}}","{'overall': 0.17, 'passing': 0.36, 'rushing': 0.01, 'firstDown': 0.03, 'secondDown': 0.1, 'thirdDown': 0.53, 'cumulative': {'total': 148.3, 'passing': 1491.9, 'rushing': 4.6}}"
