game_id,season,week,team,conference,opponent,off_epa,off_epa_pass,off_epa_rush,def_epa,def_epa_pass,def_epa_rush
401531840,2023,1,Southern Miss,Sun Belt,Alcorn State,0.26,0.59,0.08,0.12,0.15,0.12
401520181,2023,1,South Florida,American Athletic,Western Kentucky,0.11,-0.16,0.39,0.32,0.33,0.32
401523988,2023,1,Stanford,Pac-12,Hawai'i,0.23,0.41,0.05,0.2,0.25,-0.09
401525466,2023,1,Syracuse,ACC,Colgate,0.4,0.95,0.01,-0.38,-0.46,-0.33
401523994,2023,1,TCU,Big 12,Colorado,0.29,0.36,0.45,0.48,0.77,-0.03
401531387,2023,1,Temple,American Athletic,Akron,0.14,0.34,-0.22,0.1,0.24,0.0
401520179,2023,1,Tennessee,SEC,Virginia,0.38,0.34,0.4,-0.1,-0.11,-0.1
401525824,2023,1,Texas,Big 12,Rice,0.06,0.04,0.09,0.06,0.65,-0.41
401520173,2023,1,Texas A&M,SEC,New Mexico,0.43,0.6,0.21,0.04,0.21,-0.14
401525817,2023,1,Texas State,Sun Belt,Baylor,0.41,0.85,0.05,0.23,0.61,-0.18
401525825,2023,1,Texas Tech,Big 12,Wyoming,0.18,0.32,0.04,0.13,0.1,0.16
401520155,2023,1,Toledo,Mid-American,Illinois,0.19,0.08,0.28,0.29,0.67,0.12
401531841,2023,1,Troy,Sun Belt,Stephen F. Austin,0.32,0.61,0.19,-0.15,-0.24,-0.05
401531347,2023,1,Tulane,American Athletic,South Alabama,0.36,1.76,-0.14,0.09,0.18,0.16
401531337,2023,1,Tulsa,American Athletic,Arkansas-Pine Bluff,0.44,1.0,0.31,-0.01,0.08,0.03
401531377,2023,1,UAB,American Athletic,North Carolina A&T,0.51,0.49,0.53,-0.1,-0.74,0.16
401525816,2023,1,UCF,Big 12,Kent State,0.49,0.66,0.57,-0.04,0.11,-0.15
401523995,2023,1,UCLA,Pac-12,Coastal Carolina,0.1,0.11,0.09,0.06,0.18,-0.13
401520174,2023,1,UConn,FBS Independents,NC State,0.12,-0.04,0.42,0.19,0.23,0.17
401520175,2023,1,UL Monroe,Sun Belt,Army,-0.05,-0.44,0.35,0.03,0.75,-0.06
401532572,2023,1,UNLV,Mountain West,Bryant,0.23,0.32,0.16,0.16,0.13,0.2
401523996,2023,1,USC,Pac-12,Nevada,0.82,0.94,0.6,-0.03,0.28,-0.38
401523986,2023,1,USC,Pac-12,San José State,0.52,0.61,0.42,0.13,-0.06,0.45
401520176,2023,1,Utah,Pac-12,Florida,0.09,0.21,0.0,0.07,0.11,-0.04
401520157,2023,1,Utah State,Mountain West,Iowa,0.06,0.02,0.17,0.03,0.43,-0.34
401520177,2023,1,UTEP,Conference USA,Incarnate Word,0.44,0.55,0.41,0.0,0.33,-0.25
401520145,2023,1,UTEP,Conference USA,Jacksonville State,0.06,0.23,0.07,0.03,-0.05,0.07
401525819,2023,1,UTSA,American Athletic,Houston,0.18,0.22,0.32,-0.02,0.21,-0.27
401520178,2023,1,Vanderbilt,SEC,Alabama A&M,0.3,0.31,0.43,0.11,-0.1,0.35
401520147,2023,1,Vanderbilt,SEC,Hawai'i,0.11,0.41,-0.31,0.24,0.66,-0.14
401520179,2023,1,Virginia,ACC,Tennessee,-0.1,-0.11,-0.1,0.38,0.34,0.4
401525467,2023,1,Virginia Tech,ACC,Old Dominion,0.07,0.45,-0.18,0.06,0.0,0.22
401525461,2023,1,Wake Forest,ACC,Elon,0.13,0.27,-0.01,0.01,0.0,0.18
401523997,2023,1,Washington,Pac-12,Boise State,0.53,0.64,0.29,0.07,-0.01,0.21
401523990,2023,1,Washington State,Pac-12,Colorado State,0.29,0.44,0.05,0.08,0.28,-0.19
401520181,2023,1,Western Kentucky,Conference USA,South Florida,0.32,0.33,0.32,0.11,-0.16,0.39
401532393,2023,1,Western Michigan,Mid-American,St. Francis (PA),0.29,0.19,0.39,0.26,0.35,0.13
401520169,2023,1,West Virginia,Big 12,Penn State,0.22,-0.13,0.47,0.36,0.66,0.17
401520180,2023,1,Wisconsin,Big Ten,Buffalo,0.29,0.23,0.41,-0.01,0.08,-0.12
401525825,2023,1,Wyoming,Mountain West,Texas Tech,0.13,0.1,0.16,0.18,0.32,0.04
401520211,2023,2,Air Force,Mountain West,Sam Houston,0.02,-0.13,0.03,-0.17,-0.45,0.02
401532399,2023,2,Akron,Mid-American,Morgan State,-0.32,0.06,-0.35,-0.27,-0.11,-0.36
401520183,2023,2,Alabama,SEC,Texas,0.21,0.42,-0.02,0.22,0.47,-0.05
401525495,2023,2,App State,Sun Belt,North Carolina,0.3,0.47,0.24,0.41,0.16,0.64
401520205,2023,2,Arizona,Pac-12,Mississippi State,0.14,0.54,-0.26,0.04,0.33,-0.07
401523998,2023,2,Arizona State,Pac-12,Oklahoma State,0.14,0.14,0.18,0.11,0.12,0.11
401520184,2023,2,Arkansas,SEC,Kent State,0.31,0.27,0.33,-0.25,-0.37,-0.15
401531427,2023,2,Arkansas State,Sun Belt,Memphis,-0.31,-0.25,-0.3,0.24,0.47,0.05
401520185,2023,2,Army,FBS Independents,Delaware State,0.57,1.21,0.35,0.01,0.18,-0.17
401520186,2023,2,Auburn,SEC,California,0.15,0.33,0.07,-0.08,-0.12,0.04
401520191,2023,2,Ball State,Mid-American,Georgia,-0.14,-0.03,-0.28,0.32,0.47,0.13
401523999,2023,2,Baylor,Big 12,Utah,0.17,0.27,0.08,0.11,-0.1,0.25
401525827,2023,2,Boise State,Mountain West,UCF,0.07,0.2,0.09,0.16,0.83,0.12
401525490,2023,2,Boston College,ACC,Holy Cross,0.35,0.43,0.32,0.39,0.42,0.38
401532400,2023,2,Bowling Green,Mid-American,Eastern Illinois,0.62,1.08,0.2,0.23,0.3,0.24
401532401,2023,2,Buffalo,Mid-American,Fordham,0.35,0.69,0.01,0.27,0.48,0.07
401525828,2023,2,BYU,Big 12,Southern Utah,0.4,0.82,-0.08,0.2,0.46,-0.04
401520186,2023,2,California,Pac-12,Auburn,-0.08,-0.12,0.04,0.15,0.33,0.07
401532396,2023,2,Central Michigan,Mid-American,New Hampshire,0.36,0.29,0.47,0.43,0.6,-0.17
401520200,2023,2,Charlotte,American Athletic,Maryland,0.08,0.32,0.04,0.3,0.23,0.52
401525496,2023,2,Cincinnati,Big 12,Pittsburgh,0.21,0.3,0.15,-0.06,-0.09,-0.01
401525491,2023,2,Clemson,ACC,Charleston Southern,0.47,0.46,0.49,-0.33,-0.46,-0.25
401520187,2023,2,Coastal Carolina,Sun Belt,Jacksonville State,0.13,0.5,-0.15,0.07,0.0,0.13
401520188,2023,2,Colorado,Pac-12,Nebraska,0.23,0.31,0.08,0.09,0.19,0.03
401525492,2023,2,Duke,ACC,Lafayette,0.47,0.94,0.24,-0.04,0.21,-0.08
401531411,2023,2,East Carolina,American Athletic,Marshall,-0.06,0.0,-0.07,0.28,0.54,0.06
401520204,2023,2,Eastern Michigan,Mid-American,Minnesota,-0.07,-0.25,0.15,0.07,0.38,0.11
401520190,2023,2,Florida,SEC,McNeese,0.58,0.65,0.55,-0.15,0.02,-0.2
401531419,2023,2,Florida Atlantic,American Athletic,Ohio,-0.14,-0.02,-0.26,0.0,0.0,0.02
401520189,2023,2,Florida International,Conference USA,North Texas,0.34,0.64,0.27,0.07,-0.13,0.27
401525493,2023,2,Florida State,ACC,Southern Miss,0.44,0.25,0.62,-0.08,-0.21,0.12
401532574,2023,2,Fresno State,Mountain West,Eastern Washington,0.18,0.29,0.04,0.15,0.19,0.09
401520191,2023,2,Georgia,SEC,Ball State,0.32,0.47,0.13,-0.14,-0.03,-0.28
401531378,2023,2,Georgia Southern,Sun Belt,UAB,0.3,0.51,0.08,0.4,0.59,0.09
401520192,2023,2,Georgia State,Sun Belt,UConn,0.2,0.17,0.21,0.1,0.49,-0.3
401525494,2023,2,Georgia Tech,ACC,South Carolina State,0.41,0.59,0.27,0.05,0.27,-0.05
