game_id,season,week,home_team,away_team,provider,spread,formatted_spread,spread_open,over_under,over_under_open,home_moneyline,away_moneyline
401864498,2026,1,New Mexico,Central Michigan,DraftKings,-10.0,New Mexico -10,-12.5,46.5,,-395.0,310.0
401858424,2026,1,Illinois,UAB,Bovada,-28.0,Illinois -28.0,-27.5,54.5,56.5,-8000.0,1400.0
401858424,2026,1,Illinois,UAB,DraftKings,-27.5,Illinois -27.5,-27.5,55.5,,-5000.0,1800.0
401856778,2026,1,Houston,Oregon State,Bovada,-20.5,Houston -20.5,-18.5,49.5,51.5,-1300.0,725.0
401856778,2026,1,Houston,Oregon State,DraftKings,-20.5,Houston -20.5,-18.5,49.5,,-1800.0,1000.0
401856665,2026,1,South Carolina,Kent State,Bovada,-36.5,South Carolina -36.5,-34.5,53.5,52.5,-100000.0,-100000.0
401856665,2026,1,South Carolina,Kent State,DraftKings,-35.5,South Carolina -35.5,-33.5,54.5,,-100000.0,5000.0
401870763,2026,1,Troy,Sam Houston,Bovada,-17.0,Troy -17.0,-17.0,53.5,50.5,-1300.0,725.0
401870763,2026,1,Troy,Sam Houston,DraftKings,-17.5,Troy -17.5,-17.5,53.5,,-1000.0,650.0
401858434,2026,1,Penn State,Marshall,Bovada,-24.0,Penn State -24.0,-23.5,52.5,54.5,-3500.0,1100.0
401858434,2026,1,Penn State,Marshall,DraftKings,-24.5,Penn State -24.5,-23.5,52.5,,-3600.0,1500.0
401858426,2026,1,Iowa,Northern Illinois,Bovada,-31.0,Iowa -31.0,-29.5,44.5,43.5,-100000.0,2500.0
401858426,2026,1,Iowa,Northern Illinois,DraftKings,-31.5,Iowa -31.5,-29.5,44.5,,-100000.0,5000.0
401862699,2026,1,South Florida,Florida International,Bovada,-14.0,South Florida -14.0,-12.5,52.0,54.5,-460.0,340.0
401862699,2026,1,South Florida,Florida International,DraftKings,-14.0,South Florida -14,-12.5,52.5,,-575.0,425.0
401856637,2026,1,Florida,Florida Atlantic,Bovada,-26.5,Florida -26.5,-25.5,59.5,56.5,-6500.0,1300.0
401856637,2026,1,Florida,Florida Atlantic,DraftKings,-26.5,Florida -26.5,-25.5,59.5,,-5000.0,1800.0
401858210,2026,1,California,UCLA,Bovada,2.0,UCLA -2.0,-3.5,54.0,53.5,110.0,-130.0
401858210,2026,1,California,UCLA,DraftKings,2.5,UCLA -2.5,-1.5,53.5,,105.0,-125.0
401860878,2026,1,Colorado State,Wyoming,DraftKings,-3.0,Colorado State -3,-4.0,46.5,,-162.0,136.0
401860878,2026,1,Colorado State,Wyoming,Bovada,-3.0,Colorado State -3.0,-4.0,46.5,47.5,-180.0,155.0
401858438,2026,1,Notre Dame,Wisconsin,Bovada,-20.5,Notre Dame -20.5,-16.5,47.5,46.5,-2500.0,1000.0
401858438,2026,1,Notre Dame,Wisconsin,DraftKings,-20.5,Notre Dame -20.5,,47.5,47.5,-1800.0,1000.0
401864497,2026,1,Hawai'i,UNLV,Bovada,3.0,UNLV -3.0,1.5,57.5,58.5,130.0,-150.0
401864497,2026,1,Hawai'i,UNLV,DraftKings,3.0,UNLV -3,1.5,57.5,,124.0,-148.0
401858207,2026,1,Pittsburgh,Miami (OH),Bovada,-16.5,Pittsburgh -16.5,-16.5,48.5,50.5,-800.0,525.0
401858207,2026,1,Pittsburgh,Miami (OH),DraftKings,-16.5,Pittsburgh -16.5,-16.5,48.5,,-850.0,575.0
401856780,2026,1,West Virginia,Coastal Carolina,Bovada,-20.5,West Virginia -20.5,-17.5,56.0,57.5,-1725.0,-100000.0
401856780,2026,1,West Virginia,Coastal Carolina,DraftKings,-20.5,West Virginia -20.5,-17.5,55.5,,-1350.0,800.0
401858204,2026,1,Wake Forest,Akron,DraftKings,-24.5,Wake Forest -24.5,-22.5,48.5,,-3200.0,1400.0
401858204,2026,1,Wake Forest,Akron,Bovada,-24.0,Wake Forest -24.0,-22.5,48.5,49.5,-3500.0,1100.0
401864495,2026,1,Eastern Michigan,San José State,DraftKings,-3.0,Eastern Michigan -3,-3.5,56.5,,-155.0,130.0
401864495,2026,1,Eastern Michigan,San José State,Bovada,-3.0,Eastern Michigan -3.0,-3.5,56.0,53.5,-170.0,145.0
401858429,2026,1,Michigan State,Toledo,DraftKings,-9.5,Michigan State -9.5,-10.5,47.5,,-395.0,310.0
401858429,2026,1,Michigan State,Toledo,Bovada,-9.5,Michigan State -9.5,-10.5,47.0,49.5,-410.0,305.0
401862695,2026,1,Memphis,Arkansas State,Bovada,-11.0,Memphis -11.0,-10.5,52.0,55.5,-340.0,270.0
401862695,2026,1,Memphis,Arkansas State,DraftKings,-11.5,Memphis -11.5,-10.5,52.5,,-440.0,340.0
401856660,2026,1,LSU,Clemson,Bovada,-10.0,LSU -10.0,-11.5,50.5,51.5,-480.0,350.0
401856660,2026,1,LSU,Clemson,DraftKings,-10.0,LSU -10,,50.5,,-360.0,285.0
401858432,2026,1,Ohio State,Ball State,Bovada,-51.0,Ohio State -51.0,-50.5,56.5,56.5,,
401858432,2026,1,Ohio State,Ball State,DraftKings,-50.5,Ohio State -50.5,-49.5,56.5,,,
401856664,2026,1,Oklahoma,UTEP,Bovada,-41.5,Oklahoma -41.5,-40.5,51.0,50.5,,
401856664,2026,1,Oklahoma,UTEP,DraftKings,-41.5,Oklahoma -41.5,-40.5,50.5,,,
401856668,2026,1,Texas A&M,Missouri State,Bovada,-40.5,Texas A&M -40.5,-38.5,53.5,52.5,,
401856668,2026,1,Texas A&M,Missouri State,DraftKings,-40.5,Texas A&M -40.5,-38.5,53.5,,,
