season,team,conference,fpi,resumeranks,efficiencies
2026,Kennesaw State,Conference USA,-5.408,"{'strengthOfRecord': 17, 'fpi': 89, 'averageWinProbability': 4, 'strengthOfSchedule': 105, 'remainingStrengthOfSchedule': 99, 'gameControl': 8}","{'overall': 83.038, 'offense': 41.475, 'defense': 92.003, 'specialTeams': 96.398}"
2026,Army,American Athletic,-5.63,"{'strengthOfRecord': 0, 'fpi': 90, 'averageWinProbability': 0, 'strengthOfSchedule': 118, 'remainingStrengthOfSchedule': 115, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Air Force,Mountain West,-6.842,"{'strengthOfRecord': 0, 'fpi': 93, 'averageWinProbability': 0, 'strengthOfSchedule': 133, 'remainingStrengthOfSchedule': 130, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,App State,Sun Belt,-9.767,"{'strengthOfRecord': 0, 'fpi': 108, 'averageWinProbability': 0, 'strengthOfSchedule': 129, 'remainingStrengthOfSchedule': 127, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Arkansas State,Sun Belt,-9.153,"{'strengthOfRecord': 0, 'fpi': 106, 'averageWinProbability': 0, 'strengthOfSchedule': 119, 'remainingStrengthOfSchedule': 118, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Ball State,Mid-American,-17.282,"{'strengthOfRecord': 0, 'fpi': 133, 'averageWinProbability': 0, 'strengthOfSchedule': 81, 'remainingStrengthOfSchedule': 80, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Buffalo,Mid-American,-12.528,"{'strengthOfRecord': 18, 'fpi': 118, 'averageWinProbability': 24, 'strengthOfSchedule': 110, 'remainingStrengthOfSchedule': 102, 'gameControl': 38}","{'overall': 19.353, 'offense': 11.471, 'defense': 44.367, 'specialTeams': 43.74}"
2026,UCF,Big 12,4.839,"{'strengthOfRecord': 23, 'fpi': 44, 'averageWinProbability': 1, 'strengthOfSchedule': 63, 'remainingStrengthOfSchedule': 61, 'gameControl': 6}","{'overall': 92.175, 'offense': 67.989, 'defense': 86.884, 'specialTeams': 93.892}"
2026,Cincinnati,Big 12,4.406,"{'strengthOfRecord': 0, 'fpi': 47, 'averageWinProbability': 0, 'strengthOfSchedule': 50, 'remainingStrengthOfSchedule': 50, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Florida Atlantic,American Athletic,-11.256,"{'strengthOfRecord': 0, 'fpi': 114, 'averageWinProbability': 0, 'strengthOfSchedule': 93, 'remainingStrengthOfSchedule': 93, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Florida International,Conference USA,-12.58,"{'strengthOfRecord': 0, 'fpi': 120, 'averageWinProbability': 0, 'strengthOfSchedule': 134, 'remainingStrengthOfSchedule': 132, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Georgia State,Sun Belt,-12.575,"{'strengthOfRecord': 25, 'fpi': 119, 'averageWinProbability': 10, 'strengthOfSchedule': 120, 'remainingStrengthOfSchedule': 113, 'gameControl': 24}","{'overall': 70.032, 'offense': 66.256, 'defense': 48.145, 'specialTeams': 79.796}"
2026,Kent State,Mid-American,-17.891,"{'strengthOfRecord': 0, 'fpi': 134, 'averageWinProbability': 0, 'strengthOfSchedule': 71, 'remainingStrengthOfSchedule': 71, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Liberty,Conference USA,-7.748,"{'strengthOfRecord': 0, 'fpi': 98, 'averageWinProbability': 0, 'strengthOfSchedule': 136, 'remainingStrengthOfSchedule': 133, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Louisiana Tech,Sun Belt,-9.556,"{'strengthOfRecord': 0, 'fpi': 107, 'averageWinProbability': 0, 'strengthOfSchedule': 82, 'remainingStrengthOfSchedule': 81, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Middle Tennessee,Conference USA,-16.066,"{'strengthOfRecord': 0, 'fpi': 131, 'averageWinProbability': 0, 'strengthOfSchedule': 128, 'remainingStrengthOfSchedule': 126, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,Charlotte,American Athletic,-14.583,"{'strengthOfRecord': 0, 'fpi': 129, 'averageWinProbability': 0, 'strengthOfSchedule': 88, 'remainingStrengthOfSchedule': 86, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,UL Monroe,Sun Belt,-19.255,"{'strengthOfRecord': 0, 'fpi': 137, 'averageWinProbability': 0, 'strengthOfSchedule': 127, 'remainingStrengthOfSchedule': 125, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
2026,UNLV,Mountain West,-0.403,"{'strengthOfRecord': 27, 'fpi': 66, 'averageWinProbability': 25, 'strengthOfSchedule': 121, 'remainingStrengthOfSchedule': 119, 'gameControl': 33}","{'overall': 39.196, 'offense': 50.734, 'defense': 38.421, 'specialTeams': 30.92}"
2026,Nevada,Mountain West,-11.931,"{'strengthOfRecord': 0, 'fpi': 115, 'averageWinProbability': 0, 'strengthOfSchedule': 113, 'remainingStrengthOfSchedule': 112, 'gameControl': 0}","{'overall': None, 'offense': None, 'defense': None, 'specialTeams': None}"
